subjectID,sessionType,session,sessionTime,trial,sleepScore,caffeineScore,alertnessScore,gazeDeviation,angular_velocity_gain
17,AM,1,A,1,1,0,1,2.543464842058026,1.260416366651733
17,AM,1,A,2,1,0,1,3.454795039776138,0.6108861022318329
17,AM,2,M,1,1,0,1,2.230633508405218,0.9759448291629061
17,AM,2,M,2,1,0,1,2.054954026545413,0.7159050758215916
18,AM,1,A,1,-1,2,1,2.606574913967672,0.6135824507804734
18,AM,1,A,2,-1,2,1,3.492214386205086,1.074115872443587
19,AM,1,A,1,-1,0,-1,1.640421063941218,0.9500594869551792
19,AM,1,A,2,-1,0,-1,2.780425789607372,0.6611682196815165
20,AM,1,A,1,1,1,2,2.215303574445888,1.023639363224522
20,AM,1,A,2,1,1,2,3.038719084436699,0.728828241039575
20,AM,2,M,1,1,0,1,2.348162291230717,0.6838886050602753
20,AM,2,M,2,1,0,1,2.140229562420466,0.9298336680913829
21,AM,1,A,1,1,0,1,2.064832106681952,0.8446655544556696
21,AM,1,A,2,1,0,1,1.792339471339271,0.9817309290459143
21,AM,2,M,1,-1,0,-1,3.149441560278281,1.067058079890909
21,AM,2,M,2,-1,0,-1,3.096545077622762,0.9280918568040548
22,AM,1,A,1,1,2,3,2.710572088670112,0.5561049985507379
22,AM,1,A,2,1,2,3,4.294002568607648,0.8968285248544964
22,AM,2,M,1,-1,1,0,2.976626409152155,0.9251117689956878
22,AM,2,M,2,-1,1,0,2.219244443501961,0.695011738182407
24,MA,1,M,1,1,0,1,2.426925878394296,0.9879226129174951
24,MA,1,M,2,1,0,1,5.408472244796981,0.5875776776392074
24,MA,2,A,1,1,4,5,2.302000233485084,0.9835417009294583
24,MA,2,A,2,1,4,5,2.686176407759501,0.8186196625308833
25,AM,1,A,1,1,0,1,2.727233618103659,1.20215192719924
25,AM,1,A,2,1,0,1,3.941065181685049,0.5376643883573134
25,AM,2,M,1,2,0,2,2.299284416638728,1.177004016998115
25,AM,2,M,2,2,0,2,2.740415720457824,0.903237220961457
26,AM,1,A,1,-1,3,2,2.187488256567553,0.926308987557886
26,AM,1,A,2,-1,3,2,2.894203188297187,0.8769918951935933
26,AM,2,M,1,1,4,5,1.881433223594916,0.8306850254274037
26,AM,2,M,2,1,4,5,2.265498402777292,0.8729667634302677
27,MA,1,M,1,1,0,1,2.593296322823397,0.9830464082000177
27,MA,1,M,2,1,0,1,3.036664851312793,1.050464644162586
27,MA,2,A,1,1,3,4,2.21560478616873,1.043272828441201
27,MA,2,A,2,1,3,4,2.374723037131879,1.08085030152267
